epi_year_week,date,day,iso_week,epi_week,epi_year,date.1,day_off,break_day,holiday,day_off_sat,day_off_sun
2001-37,10.09.01,1,37,37,2001,2001-09-10,0.0,0.0,0.0,0.0,0.0
2001-37,11.09.01,2,37,37,2001,2001-09-11,0.0,0.0,0.0,0.0,0.0
2001-37,12.09.01,3,37,37,2001,2001-09-12,0.0,0.0,0.0,0.0,0.0
2001-37,13.09.01,4,37,37,2001,2001-09-13,0.0,0.0,0.0,0.0,0.0
2001-37,14.09.01,5,37,37,2001,2001-09-14,0.0,0.0,0.0,0.0,0.0
2001-37,15.09.01,6,37,37,2001,2001-09-15,1.0,0.0,0.0,1.0,0.0
2001-37,16.09.01,7,37,37,2001,2001-09-16,1.0,0.0,0.0,0.0,1.0
2001-38,17.09.01,1,38,38,2001,2001-09-17,0.0,0.0,0.0,0.0,0.0
2001-38,18.09.01,2,38,38,2001,2001-09-18,0.0,0.0,0.0,0.0,0.0
2001-38,19.09.01,3,38,38,2001,2001-09-19,0.0,0.0,0.0,0.0,0.0
2001-38,20.09.01,4,38,38,2001,2001-09-20,0.0,0.0,0.0,0.0,0.0
2001-38,21.09.01,5,38,38,2001,2001-09-21,0.0,0.0,0.0,0.0,0.0
2001-38,22.09.01,6,38,38,2001,2001-09-22,1.0,0.0,0.0,1.0,0.0
2001-38,23.09.01,7,38,38,2001,2001-09-23,1.0,0.0,0.0,0.0,1.0
2001-39,24.09.01,1,39,39,2001,2001-09-24,0.0,0.0,0.0,0.0,0.0
2001-39,25.09.01,2,39,39,2001,2001-09-25,0.0,0.0,0.0,0.0,0.0
2001-39,26.09.01,3,39,39,2001,2001-09-26,0.0,0.0,0.0,0.0,0.0
2001-39,27.09.01,4,39,39,2001,2001-09-27,0.0,0.0,0.0,0.0,0.0
2001-39,28.09.01,5,39,39,2001,2001-09-28,0.0,0.0,0.0,0.0,0.0
2001-39,29.09.01,6,39,39,2001,2001-09-29,1.0,0.0,0.0,1.0,0.0
2001-39,30.09.01,7,39,39,2001,2001-09-30,1.0,0.0,0.0,0.0,1.0
2001-40,01.10.01,1,40,40,2001,2001-10-01,0.0,0.0,0.0,0.0,0.0
2001-40,02.10.01,2,40,40,2001,2001-10-02,0.0,0.0,0.0,0.0,0.0
2001-40,03.10.01,3,40,40,2001,2001-10-03,0.0,0.0,0.0,0.0,0.0
2001-40,04.10.01,4,40,40,2001,2001-10-04,0.0,0.0,0.0,0.0,0.0
2001-40,05.10.01,5,40,40,2001,2001-10-05,0.0,0.0,0.0,0.0,0.0
2001-40,06.10.01,6,40,40,2001,2001-10-06,1.0,0.0,0.0,1.0,0.0
2001-40,07.10.01,7,40,40,2001,2001-10-07,1.0,0.0,0.0,0.0,1.0
